,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,0,2,0.0,0.2,610
1,2,3,0.4,0.3,294
2,4,6,0.8,0.6,286
3,4,8,0.8,0.8,298
4,2,6,0.4,0.6,82
5,5,9,1.0,0.9,202
6,0,0,0.0,0.0,341
7,3,7,0.6,0.7,217
8,4,9,0.8,0.9,57
9,3,6,0.6,0.6,21
10,0,3,0.0,0.3,183
11,5,9,1.0,0.9,414
12,4,7,0.8,0.7,483
13,5,10,1.0,1.0,182
14,1,1,0.2,0.1,509
15,5,7,1.0,0.7,125
16,4,7,0.8,0.7,84
17,5,8,1.0,0.8,140
18,4,8,0.8,0.8,117
19,0,0,0.0,0.0,520
20,2,5,0.4,0.5,313
21,4,5,0.8,0.5,443
22,0,0,0.0,0.0,271
23,4,9,0.8,0.9,232
24,5,7,1.0,0.7,131
25,1,1,0.2,0.1,280
26,5,10,1.0,1.0,274
27,3,4,0.6,0.4,590
28,5,9,1.0,0.9,239
29,5,9,1.0,0.9,305
30,2,4,0.4,0.4,525
31,3,3,0.6,0.3,29
32,0,2,0.0,0.2,597
33,3,5,0.6,0.5,372
34,4,8,0.8,0.8,144
35,5,7,1.0,0.7,263
36,2,2,0.4,0.2,168
37,3,6,0.6,0.6,226
38,3,5,0.6,0.5,244
39,5,10,1.0,1.0,249
40,1,2,0.2,0.2,582
41,5,9,1.0,0.9,103
42,5,10,1.0,1.0,68
43,0,0,0.0,0.0,255
44,1,4,0.2,0.4,51
45,4,7,0.8,0.7,223
46,5,9,1.0,0.9,91
47,1,1,0.2,0.1,489
48,2,5,0.4,0.5,116
49,2,2,0.4,0.2,256
50,3,5,0.6,0.5,606
51,1,2,0.2,0.2,402
52,3,5,0.6,0.5,111
53,0,3,0.0,0.3,330
54,1,1,0.2,0.1,603
55,2,5,0.4,0.5,381
56,5,5,1.0,0.5,24
57,5,8,1.0,0.8,105
58,0,0,0.0,0.0,393
59,0,0,0.0,0.0,308
60,3,7,0.6,0.7,266
61,1,2,0.2,0.2,534
62,2,7,0.4,0.7,96
63,2,3,0.4,0.3,453
64,5,8,1.0,0.8,177
65,1,1,0.2,0.1,404
66,4,4,0.8,0.4,41
67,4,5,0.8,0.5,50
68,4,8,0.8,0.8,1
69,1,1,0.2,0.1,48
70,4,7,0.8,0.7,200
71,0,0,0.0,0.0,410
72,4,4,0.8,0.4,332
73,1,4,0.2,0.4,599
74,1,2,0.2,0.2,387
75,1,1,0.2,0.1,89
76,4,6,0.8,0.6,215
77,5,8,1.0,0.8,187
78,0,0,0.0,0.0,432
79,5,10,1.0,1.0,288
80,3,5,0.6,0.5,246
81,3,4,0.6,0.4,4
82,5,8,1.0,0.8,42
83,2,4,0.4,0.4,176
84,0,0,0.0,0.0,342
85,2,4,0.4,0.4,153
86,3,5,0.6,0.5,222
87,1,2,0.2,0.2,477
88,4,7,0.8,0.7,219
89,1,1,0.2,0.1,572
90,0,0,0.0,0.0,544
91,0,1,0.0,0.1,90
92,0,0,0.0,0.0,205
93,4,8,0.8,0.8,235
94,2,5,0.4,0.5,7
95,4,7,0.8,0.7,167
96,0,0,0.0,0.0,356
97,1,1,0.2,0.1,13
98,3,5,0.6,0.5,112
99,4,8,0.8,0.8,45
100,1,2,0.2,0.2,172
101,2,4,0.4,0.4,570
102,0,0,0.0,0.0,257
103,1,3,0.2,0.3,234
104,2,5,0.4,0.5,19
105,5,9,1.0,0.9,292
106,2,3,0.4,0.3,425
107,0,0,0.0,0.0,383
108,0,0,0.0,0.0,405
109,1,2,0.2,0.2,434
110,5,8,1.0,0.8,221
111,5,10,1.0,1.0,18
112,5,6,1.0,0.6,156
113,5,10,1.0,1.0,64
114,2,3,0.4,0.3,46
115,2,3,0.4,0.3,191
116,1,1,0.2,0.1,354
117,5,8,1.0,0.8,76
118,4,9,0.8,0.9,160
119,0,0,0.0,0.0,448
120,5,7,1.0,0.7,199
121,5,7,1.0,0.7,62
122,4,7,0.8,0.7,38
123,1,2,0.2,0.2,318
124,0,0,0.0,0.0,546
125,0,0,0.0,0.0,285
126,3,5,0.6,0.5,335
127,5,8,1.0,0.8,33
128,0,0,0.0,0.0,184
129,0,0,0.0,0.0,357
130,3,4,0.6,0.4,241
131,5,8,1.0,0.8,307
132,5,9,1.0,0.9,198
133,4,5,0.8,0.5,211
134,5,9,1.0,0.9,66
135,4,5,0.8,0.5,474
136,1,1,0.2,0.1,148
137,0,0,0.0,0.0,377
138,5,8,1.0,0.8,78
139,5,10,1.0,1.0,28
140,5,8,1.0,0.8,275
141,3,7,0.6,0.7,93
142,0,0,0.0,0.0,447
143,5,10,1.0,1.0,17
144,2,3,0.4,0.3,40
145,0,0,0.0,0.0,252
146,2,2,0.4,0.2,100
147,0,0,0.0,0.0,101
148,3,7,0.6,0.7,109
149,3,5,0.6,0.5,86
150,5,10,1.0,1.0,304
151,2,3,0.4,0.3,136
152,3,4,0.6,0.4,469
153,2,5,0.4,0.5,186
154,1,1,0.2,0.1,23
155,4,7,0.8,0.7,141
156,3,6,0.6,0.6,573
157,1,3,0.2,0.3,104
158,0,1,0.0,0.1,418
159,4,7,0.8,0.7,233
160,2,3,0.4,0.3,70
161,3,5,0.6,0.5,121
162,5,8,1.0,0.8,600
163,0,0,0.0,0.0,253
164,3,6,0.6,0.6,126
