,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,49,91,539,0.09090909090909091,0.16883116883116883,414
598,24,56,495,0.048484848484848485,0.11313131313131314,599
473,100,135,421,0.2375296912114014,0.32066508313539194,474
447,35,56,372,0.09408602150537634,0.15053763440860216,448
273,84,126,269,0.31226765799256506,0.4684014869888476,274
609,59,88,260,0.22692307692307692,0.3384615384615385,610
67,87,116,252,0.34523809523809523,0.4603174603174603,68
379,68,94,243,0.27983539094650206,0.3868312757201646,380
605,54,71,223,0.242152466367713,0.3183856502242152,606
287,44,67,211,0.20853080568720378,0.3175355450236967,288
248,85,118,209,0.40669856459330145,0.5645933014354066,249
386,52,71,205,0.25365853658536586,0.3463414634146341,387
181,78,104,195,0.4,0.5333333333333333,182
306,65,88,195,0.3333333333333333,0.4512820512820513,307
602,46,62,188,0.24468085106382978,0.32978723404255317,603
297,44,68,187,0.23529411764705882,0.36363636363636365,298
176,39,68,180,0.21666666666666667,0.37777777777777777,177
317,19,32,175,0.10857142857142857,0.18285714285714286,318
231,59,74,172,0.3430232558139535,0.43023255813953487,232
479,128,150,167,0.7664670658682635,0.8982035928143712,480
607,97,124,166,0.5843373493975904,0.7469879518072289,608
599,75,101,152,0.4934210526315789,0.6644736842105263,600
589,77,91,145,0.5310344827586206,0.6275862068965518,590
482,61,74,145,0.4206896551724138,0.5103448275862069,483
104,18,25,144,0.125,0.1736111111111111,105
18,59,81,140,0.42142857142857143,0.5785714285714286,19
304,65,88,135,0.48148148148148145,0.6518518518518519,305
488,91,115,129,0.7054263565891473,0.8914728682170543,489
110,35,57,129,0.2713178294573643,0.4418604651162791,111
437,69,80,127,0.5433070866141733,0.6299212598425197,438
216,39,54,122,0.319672131147541,0.4426229508196721,217
139,36,48,121,0.2975206611570248,0.39669421487603307,140
476,32,46,120,0.26666666666666666,0.38333333333333336,477
554,35,58,115,0.30434782608695654,0.5043478260869565,555
90,13,29,115,0.11304347826086956,0.25217391304347825,91
27,53,73,114,0.4649122807017544,0.6403508771929824,28
218,62,71,105,0.5904761904761905,0.6761904761904762,219
533,40,52,104,0.38461538461538464,0.5,534
88,0,0,103,0.0,0.0,89
63,51,82,103,0.49514563106796117,0.7961165048543689,64
225,66,75,101,0.6534653465346535,0.7425742574257426,226
560,50,79,101,0.49504950495049505,0.7821782178217822,561
17,27,46,100,0.27,0.46,18
524,55,73,100,0.55,0.73,525
56,39,58,95,0.4105263157894737,0.6105263157894737,57
380,53,60,94,0.5638297872340425,0.6382978723404256,381
367,54,67,93,0.5806451612903226,0.7204301075268817,368
508,39,51,93,0.41935483870967744,0.5483870967741935,509
468,67,80,93,0.7204301075268817,0.8602150537634409,469
461,17,20,91,0.18681318681318682,0.21978021978021978,462
559,30,42,91,0.32967032967032966,0.46153846153846156,560
291,47,60,89,0.5280898876404494,0.6741573033707865,292
596,41,68,88,0.4659090909090909,0.7727272727272727,597
41,29,46,88,0.32954545454545453,0.5227272727272727,42
20,51,67,88,0.5795454545454546,0.7613636363636364,21
579,43,57,87,0.4942528735632184,0.6551724137931034,580
159,35,43,87,0.40229885057471265,0.4942528735632184,160
293,41,57,87,0.47126436781609193,0.6551724137931034,294
595,10,17,82,0.12195121951219512,0.2073170731707317,596
516,31,44,80,0.3875,0.55,517
274,51,58,80,0.6375,0.725,275
201,23,45,80,0.2875,0.5625,202
155,35,46,79,0.4430379746835443,0.5822784810126582,156
44,51,60,79,0.6455696202531646,0.759493670886076,45
513,14,20,79,0.17721518987341772,0.25316455696202533,514
390,42,56,77,0.5454545454545454,0.7272727272727273,391
566,13,28,77,0.16883116883116883,0.36363636363636365,567
356,34,48,76,0.4473684210526316,0.631578947368421,357
